output is 
36256 0.713726 0.713726
36257 0.788235 0.788235
36258 0.584314 0.584314
36259 0.713726 0.713726
36260 0.788235 0.788235
36261 0.584314 0.584314
36262 0.713726 0.713726
36263 0.788235 0.788235
36264 0.584314 0.584314
36265 0.713726 0.713726
36266 0.788235 0.788235
36267 0.576471 0.576471
36268 0.713726 0.713726
36269 0.788235 0.788235
36270 0.576471 0.576471
36271 0.713726 0.713726
36272 0.788235 0.788235
36273 0.576471 0.576471
36274 0.713726 0.713726
36275 0.788235 0.788235
36276 0.580392 0.580392
36277 0.717647 0.717647
36278 0.792157 0.792157
36279 0.580392 0.580392
36280 0.717647 0.717647
36281 0.792157 0.792157
36282 0.580392 0.580392
36283 0.717647 0.717647
36284 0.792157 0.792157
36285 0.588235 0.588235
36286 0.717647 0.717647
36287 0.792157 0.792157
36288 0.588235 0.588235
36289 0.717647 0.717647
36290 0.792157 0.792157
36291 0.588235 0.588235
36292 0.717647 0.717647
36293 0.792157 0.792157
36294 0.588235 0.588235
36295 0.717647 0.717647
36296 0.792157 0.792157
36297 0.588235 0.588235
36298 0.717647 0.717647
36299 0.792157 0.792157
36300 0.588235 0.588235
36301 0.717647 0.717647
36302 0.792157 0.792157
36303 0.588235 0.588235
36304 0.717647 0.717647
36305 0.792157 0.792157
36306 0.588235 0.588235
36307 0.717647 0.717647
36308 0.792157 0.792157
36309 0.588235 0.588235
36310 0.717647 0.717647
36311 0.792157 0.792157
36312 0.588235 0.588235
36313 0.717647 0.717647
36314 0.792157 0.792157
36315 0.588235 0.588235
36316 0.717647 0.717647
36317 0.792157 0.792157
36318 0.588235 0.588235
36319 0.717647 0.717647
36320 0.792157 0.792157
36321 0.588235 0.588235
36322 0.717647 0.717647
36323 0.792157 0.792157
36324 0.588235 0.588235
36325 0.717647 0.717647
36326 0.792157 0.792157
36327 0.588235 0.588235
36328 0.717647 0.717647
36329 0.792157 0.792157
36330 0.588235 0.588235
36331 0.717647 0.717647
36332 0.792157 0.792157
36333 0.588235 0.588235
36334 0.717647 0.717647
36335 0.792157 0.792157
36336 0.584314 0.584314
36337 0.713726 0.713726
36338 0.788235 0.788235
36339 0.584314 0.584314
36340 0.713726 0.713726
36341 0.788235 0.788235
36342 0.588235 0.588235
36343 0.717647 0.717647
36344 0.792157 0.792157
36345 0.588235 0.588235
36346 0.717647 0.717647
36347 0.792157 0.792157
36348 0.588235 0.588235
36349 0.717647 0.717647
36350 0.792157 0.792157
36351 0.588235 0.588235
36352 0.713726 0.713726
36353 0.788235 0.788235
36354 0.588235 0.588235
36355 0.709804 0.709804
36356 0.788235 0.788235
36357 0.588235 0.588235
36358 0.709804 0.709804
36359 0.788235 0.788235
36360 0.588235 0.588235
36361 0.709804 0.709804
36362 0.788235 0.788235
36363 0.588235 0.588235
36364 0.709804 0.709804
36365 0.788235 0.788235
36366 0.588235 0.588235
36367 0.709804 0.709804
36368 0.788235 0.788235
36369 0.584314 0.584314
36370 0.713726 0.713726
36371 0.788235 0.788235
36372 0.584314 0.584314
36373 0.713726 0.713726
36374 0.788235 0.788235
36375 0.584314 0.584314
36376 0.713726 0.713726
36377 0.788235 0.788235
36378 0.584314 0.584314
36379 0.713726 0.713726
36380 0.788235 0.788235
36381 0.584314 0.584314
36382 0.713726 0.713726
36383 0.788235 0.788235
36384 0.584314 0.584314
36385 0.713726 0.713726
36386 0.788235 0.788235
36387 0.584314 0.584314
36388 0.713726 0.713726
36389 0.788235 0.788235
36390 0.584314 0.584314
36391 0.713726 0.713726
36392 0.788235 0.788235
36393 0.584314 0.584314
36394 0.713726 0.713726
36395 0.788235 0.788235
36396 0.580392 0.580392
36397 0.709804 0.709804
36398 0.784314 0.784314
36399 0.580392 0.580392
36400 0.709804 0.709804
36401 0.784314 0.784314
36402 0.580392 0.580392
36403 0.709804 0.709804
36404 0.780392 0.780392
36405 0.580392 0.580392
36406 0.709804 0.709804
36407 0.776471 0.776471
36408 0.580392 0.580392
36409 0.709804 0.709804
36410 0.776471 0.776471
36411 0.576471 0.576471
36412 0.705882 0.705882
36413 0.772549 0.772549
36414 0.576471 0.576471
36415 0.705882 0.705882
36416 0.772549 0.772549
36417 0.576471 0.576471
36418 0.705882 0.705882
36419 0.772549 0.772549
36420 0.580392 0.580392
36421 0.701961 0.701961
36422 0.780392 0.780392
36423 0.580392 0.580392
36424 0.701961 0.701961
36425 0.780392 0.780392
36426 0.580392 0.580392
36427 0.701961 0.701961
36428 0.780392 0.780392
36429 0.580392 0.580392
36430 0.701961 0.701961
36431 0.780392 0.780392
36432 0.580392 0.580392
36433 0.701961 0.701961
36434 0.780392 0.780392
36435 0.576471 0.576471
36436 0.698039 0.698039
36437 0.776471 0.776471
36438 0.576471 0.576471
36439 0.698039 0.698039
36440 0.776471 0.776471
36441 0.576471 0.576471
36442 0.698039 0.698039
36443 0.776471 0.776471
36444 0.576471 0.576471
36445 0.698039 0.698039
36446 0.776471 0.776471
36447 0.576471 0.576471
36448 0.698039 0.698039
36449 0.776471 0.776471
36450 0.576471 0.576471
36451 0.698039 0.698039
36452 0.776471 0.776471
36453 0.576471 0.576471
36454 0.698039 0.698039
36455 0.776471 0.776471
36456 0.576471 0.576471
36457 0.698039 0.698039
36458 0.776471 0.776471
36459 0.576471 0.576471
36460 0.698039 0.698039
36461 0.776471 0.776471
36462 0.576471 0.576471
36463 0.698039 0.698039
36464 0.776471 0.776471
36465 0.576471 0.576471
36466 0.698039 0.698039
36467 0.776471 0.776471
36468 0.576471 0.576471
36469 0.698039 0.698039
36470 0.776471 0.776471
36471 0.572549 0.572549
36472 0.694118 0.694118
36473 0.772549 0.772549
36474 0.572549 0.572549
36475 0.694118 0.694118
36476 0.772549 0.772549
36477 0.572549 0.572549
36478 0.694118 0.694118
36479 0.772549 0.772549
36480 0.576471 0.576471
36481 0.698039 0.698039
36482 0.776471 0.776471
36483 0.576471 0.576471
36484 0.698039 0.698039
36485 0.776471 0.776471
36486 0.572549 0.572549
36487 0.698039 0.698039
36488 0.776471 0.776471
36489 0.568627 0.568627
36490 0.698039 0.698039
36491 0.772549 0.772549
36492 0.568627 0.568627
36493 0.698039 0.698039
36494 0.772549 0.772549
36495 0.564706 0.564706
36496 0.694118 0.694118
36497 0.768628 0.768628
36498 0.564706 0.564706
36499 0.694118 0.694118
36500 0.768628 0.768628
36501 0.564706 0.564706
36502 0.694118 0.694118
36503 0.768628 0.768628
36504 0.568627 0.568627
36505 0.698039 0.698039
36506 0.772549 0.772549
36507 0.568627 0.568627
36508 0.698039 0.698039
36509 0.772549 0.772549
36510 0.564706 0.564706
36511 0.694118 0.694118
36512 0.768628 0.768628
36513 0.564706 0.564706
36514 0.694118 0.694118
36515 0.768628 0.768628
36516 0.564706 0.564706
36517 0.694118 0.694118
36518 0.768628 0.768628
36519 0.564706 0.564706
36520 0.694118 0.694118
36521 0.768628 0.768628
36522 0.564706 0.564706
36523 0.694118 0.694118
36524 0.768628 0.768628
36525 0.564706 0.564706
36526 0.694118 0.694118
36527 0.768628 0.768628
36528 0.564706 0.564706
36529 0.694118 0.694118
36530 0.768628 0.768628
36531 0.556863 0.556863
36532 0.686275 0.686275
36533 0.760784 0.760784
36534 0.556863 0.556863
36535 0.686275 0.686275
36536 0.760784 0.760784
36537 0.556863 0.556863
36538 0.686275 0.686275
36539 0.760784 0.760784
36540 0.560784 0.560784
36541 0.682353 0.682353
36542 0.760784 0.760784
36543 0.560784 0.560784
36544 0.682353 0.682353
36545 0.760784 0.760784
