output is 
22511 0.807843 0.807843
22512 0.576471 0.576471
22513 0.717647 0.717647
22514 0.803922 0.803922
22515 0.576471 0.576471
22516 0.717647 0.717647
22517 0.803922 0.803922
22518 0.576471 0.576471
22519 0.717647 0.717647
22520 0.803922 0.803922
22521 0.576471 0.576471
22522 0.717647 0.717647
22523 0.803922 0.803922
22524 0.576471 0.576471
22525 0.717647 0.717647
22526 0.803922 0.803922
22527 0.576471 0.576471
22528 0.717647 0.717647
22529 0.807843 0.807843
22530 0.576471 0.576471
22531 0.717647 0.717647
22532 0.811765 0.811765
22533 0.576471 0.576471
22534 0.717647 0.717647
22535 0.811765 0.811765
22536 0.576471 0.576471
22537 0.717647 0.717647
22538 0.811765 0.811765
22539 0.576471 0.576471
22540 0.717647 0.717647
22541 0.811765 0.811765
22542 0.576471 0.576471
22543 0.717647 0.717647
22544 0.811765 0.811765
22545 0.576471 0.576471
22546 0.717647 0.717647
22547 0.803922 0.803922
22548 0.576471 0.576471
22549 0.717647 0.717647
22550 0.803922 0.803922
22551 0.576471 0.576471
22552 0.717647 0.717647
22553 0.803922 0.803922
22554 0.576471 0.576471
22555 0.717647 0.717647
22556 0.803922 0.803922
22557 0.576471 0.576471
22558 0.717647 0.717647
22559 0.803922 0.803922
22560 0.576471 0.576471
22561 0.717647 0.717647
22562 0.807843 0.807843
22563 0.576471 0.576471
22564 0.717647 0.717647
22565 0.811765 0.811765
22566 0.576471 0.576471
22567 0.717647 0.717647
22568 0.811765 0.811765
22569 0.576471 0.576471
22570 0.717647 0.717647
22571 0.811765 0.811765
22572 0.572549 0.572549
22573 0.713726 0.713726
22574 0.807843 0.807843
22575 0.572549 0.572549
22576 0.713726 0.713726
22577 0.807843 0.807843
22578 0.576471 0.576471
22579 0.713726 0.713726
22580 0.811765 0.811765
22581 0.580392 0.580392
22582 0.709804 0.709804
22583 0.811765 0.811765
22584 0.576471 0.576471
22585 0.709804 0.709804
22586 0.807843 0.807843
22587 0.576471 0.576471
22588 0.709804 0.709804
22589 0.807843 0.807843
22590 0.576471 0.576471
22591 0.709804 0.709804
22592 0.807843 0.807843
22593 0.576471 0.576471
22594 0.709804 0.709804
22595 0.807843 0.807843
22596 0.572549 0.572549
22597 0.713726 0.713726
22598 0.8 0.8
22599 0.572549 0.572549
22600 0.713726 0.713726
22601 0.8 0.8
22602 0.572549 0.572549
22603 0.713726 0.713726
22604 0.8 0.8
22605 0.572549 0.572549
22606 0.713726 0.713726
22607 0.8 0.8
22608 0.572549 0.572549
22609 0.713726 0.713726
22610 0.8 0.8
22611 0.572549 0.572549
22612 0.713726 0.713726
22613 0.8 0.8
22614 0.572549 0.572549
22615 0.713726 0.713726
22616 0.8 0.8
22617 0.572549 0.572549
22618 0.713726 0.713726
22619 0.8 0.8
22620 0.572549 0.572549
22621 0.713726 0.713726
22622 0.8 0.8
22623 0.572549 0.572549
22624 0.713726 0.713726
22625 0.8 0.8
22626 0.572549 0.572549
22627 0.713726 0.713726
22628 0.8 0.8
22629 0.568627 0.568627
22630 0.709804 0.709804
22631 0.796079 0.796079
22632 0.568627 0.568627
22633 0.709804 0.709804
22634 0.796079 0.796079
22635 0.568627 0.568627
22636 0.709804 0.709804
22637 0.796079 0.796079
22638 0.568627 0.568627
22639 0.709804 0.709804
22640 0.796079 0.796079
22641 0.568627 0.568627
22642 0.709804 0.709804
22643 0.796079 0.796079
22644 0.568627 0.568627
22645 0.709804 0.709804
22646 0.796079 0.796079
22647 0.564706 0.564706
22648 0.705882 0.705882
22649 0.8 0.8
22650 0.564706 0.564706
22651 0.705882 0.705882
22652 0.8 0.8
22653 0.564706 0.564706
22654 0.705882 0.705882
22655 0.8 0.8
22656 0.568627 0.568627
22657 0.709804 0.709804
22658 0.803922 0.803922
22659 0.564706 0.564706
22660 0.705882 0.705882
22661 0.8 0.8
22662 0.564706 0.564706
22663 0.705882 0.705882
22664 0.8 0.8
22665 0.564706 0.564706
22666 0.705882 0.705882
22667 0.792157 0.792157
22668 0.564706 0.564706
22669 0.705882 0.705882
22670 0.792157 0.792157
22671 0.564706 0.564706
22672 0.705882 0.705882
22673 0.792157 0.792157
22674 0.564706 0.564706
22675 0.705882 0.705882
